1140,Chandler,AZ,Waders,Fishing,65
1141,Anchorage,AK,Classic Fly Rod and Reel,Fishing,103
1142,Naperville,IL,Rugged Sport Sandals,Apparel,129
1143,Bellevue,WA,Self-inflating Lifejacket,Boating,169
1144,Naperville,IL,River Kayak,Boating,349
1145,Honolulu,HI,Nylon Tackle Bag,Fishing,59
1146,Lawton,OK,Polarized Sunglasses,Apparel,39
1147,Clarksville,TN,30mm Rifle Scope,Firearms,327
1148,Overland Park,KS,Nylon Tackle Bag,Fishing,59
1149,Fort Smith,AR,River Kayak,Boating,349
1150,Salt Lake City,UT,30mm Rifle Scope,Firearms,409
1151,Duluth,MN,Wrinkle-free Shirt,Apparel,39
1152,Southaven,MS,Sea Kayak,Boating,449
1153,Biloxi,MS,Rugged Sport Sandals,Apparel,129
1154,Kearney,NE,Sea Kayak,Boating,449
1155,Burlington,VT,River Raincoat,Apparel,130
1156,Southaven,MS,EZ-Conceal Holster,Firearms,39
1157,Milwaukee,WI,River Raincoat,Apparel,130
1158,Cambridge,MA,Wrinkle-free Shirt,Apparel,31
1159,Montpelier,VT,Baitcasting Rod Combo,Fishing,99
1160,Pittsburgh,PA,Reaction Hiking Boots,Apparel,129
1161,Fort Worth,TX,Bolt-action .22 Rifle,Firearms,239
1162,Gillette,WY,Self-inflating Lifejacket,Boating,169
1163,Worcester,MA,Polarized Sunglasses,Apparel,39
1164,Portland,ME,Nylon Tackle Bag,Fishing,59
1165,Kaneohe,HI,30mm Rifle Scope,Firearms,409
1166,Virginia Beach,VA,River Kayak,Boating,279
1167,Erie,PA,Rugged Sport Sandals,Apparel,129
1168,Sacramento,CA,River Raincoat,Apparel,130
1169,Salt Lake City,UT,Self-inflating Lifejacket,Boating,169
1170,Oklahoma City,OK,River Kayak,Boating,349
1171,Mesa,AZ,Reaction Hiking Boots,Apparel,129
1172,Olympia,WA,Bolt-action .22 Rifle,Firearms,239
1173,Little Rock,AR,30mm Rifle Scope,Firearms,409
1174,Kansas City,KS,Rugged Sport Sandals,Apparel,103
1175,Philadelphia,PA,Rugged Sport Sandals,Apparel,103
1176,Birmingham,AL,Bolt-action .22 Rifle,Firearms,299
1177,Southaven,MS,Baitcasting Rod Combo,Fishing,79
1178,Columbus,GA,EZ-Conceal Holster,Firearms,49
1179,South Burlington,VT,30mm Rifle Scope,Firearms,409
1180,Jefferson City,MO,Reaction Hiking Boots,Apparel,129
1181,Tucson,AZ,Wood-grip 1911 Pistol,Firearms,879
1182,Nampa,ID,EZ-Conceal Holster,Firearms,39
1183,Naperville,IL,Reaction Hiking Boots,Apparel,103
1184,Paradise,NV,30mm Rifle Scope,Firearms,327
1185,St. Petersburg,FL,EZ-Conceal Holster,Firearms,39
1186,Austin,TX,30mm Rifle Scope,Firearms,327
1187,Mobile,AL,Sea Kayak,Boating,449
1188,Lansing,MI,Polarized Sunglasses,Apparel,39
1189,Atlanta,GA,Wood-grip 1911 Pistol,Firearms,879
1190,Spokane,WA,Sea Kayak,Boating,449
1191,South Portland,ME,Quad-prop Camera Drone,Other,149
1192,Kailua,HI,Classic Fly Rod and Reel,Fishing,129
1193,Bowling Green,KY,River Raincoat,Apparel,130
1194,Fairbanks,AK,Logo Tee,Apparel,24
1195,Harrisburg,PA,River Kayak,Boating,349
1196,Auburn,ME,Sea Kayak,Boating,449
1197,Biloxi,MS,Expedition Cooler,Other,200
1198,Cincinnati,OH,River Raincoat,Apparel,130
1199,Hattiesburg,MS,Wood-grip 1911 Pistol,Firearms,1099
1200,Waterbury,CT,Expedition Cooler,Other,250
1201,Tacoma,WA,Quad-prop Camera Drone,Other,149
1202,Newport News,VA,EZ-Conceal Holster,Firearms,49
1203,Sioux City,IA,30mm Rifle Scope,Firearms,409
1204,Chandler,AZ,Polarized Sunglasses,Apparel,39
1205,Sandy,UT,Wrinkle-free Shirt,Apparel,31
1206,Broken Arrow,OK,Sonar/GPS Combo,Fishing,799
1207,Fort Worth,TX,Sonar/GPS Combo,Fishing,799
1208,Dallas,TX,Bolt-action .22 Rifle,Firearms,299
1209,Columbia,MD,Polarized Sunglasses,Apparel,39
1210,Fresno,CA,Classic Fly Rod and Reel,Fishing,129
1211,Rockford,IL,Polarized Sunglasses,Apparel,39
1212,Kailua,HI,Polarized Sunglasses,Apparel,31
1213,Lakewood,CO,Sonar/GPS Combo,Fishing,799
1214,Baton Rouge,LA,Reaction Hiking Boots,Apparel,103
1215,Olathe,KS,Quad-prop Camera Drone,Other,149
1216,Portland,OR,Logo Tee,Apparel,24
1217,Phoenix,AZ,River Kayak,Boating,349
1218,Hartford,CT,Sonar/GPS Combo,Fishing,999
1219,Savannah,GA,Self-inflating Lifejacket,Boating,169
1220,Colorado Springs,CO,Rugged Sport Sandals,Apparel,129
1221,Anchorage,AK,EZ-Conceal Holster,Firearms,49
1222,Tacoma,WA,Bolt-action .22 Rifle,Firearms,239
1223,Orlando,FL,Logo Tee,Apparel,19
1224,Kailua,HI,River Kayak,Boating,349
1225,Fort Collins,CO,Rugged Sport Sandals,Apparel,129
1226,Kapolei,HI,Baitcasting Rod Combo,Fishing,79
1227,Stamford,CT,Baitcasting Rod Combo,Fishing,79
1228,Richmond,VA,Rugged Sport Sandals,Apparel,129
1229,New Orleans,LA,Sonar/GPS Combo,Fishing,999
1230,Columbia,MO,River Raincoat,Apparel,130
1231,Topeka,KS,River Raincoat,Apparel,130
1232,Saint Paul,MN,30mm Rifle Scope,Firearms,409
1233,Los Angeles,CA,Self-inflating Lifejacket,Boating,135
1234,Boise,ID,Quad-prop Camera Drone,Other,149
1235,Kansas City,KS,Wood-grip 1911 Pistol,Firearms,879
1236,South Bend,IN,Classic Fly Rod and Reel,Fishing,129
1237,Southaven,MS,Logo Tee,Apparel,24
1238,Saint Paul,MN,Sonar/GPS Combo,Fishing,999
1239,Billings,MT,River Kayak,Boating,279
1240,Knoxville,TN,Sonar/GPS Combo,Fishing,799
1241,Worcester,MA,Nylon Tackle Bag,Fishing,59
1242,Hattiesburg,MS,Quad-prop Camera Drone,Other,149
1243,Spokane,WA,Logo Tee,Apparel,24
1244,Honolulu,HI,Classic Fly Rod and Reel,Fishing,129
1245,Tucson,AZ,River Raincoat,Apparel,130
1246,Davenport,IA,Nylon Tackle Bag,Fishing,59
1247,Saint Paul,MN,River Raincoat,Apparel,130
1248,Bridgeport,CT,Expedition Cooler,Other,250
1249,Des Moines,IA,Sonar/GPS Combo,Fishing,999
1250,Columbus,OH,Wrinkle-free Shirt,Apparel,31
1251,Allentown,PA,Reaction Hiking Boots,Apparel,129
1252,Boston,MA,Quad-prop Camera Drone,Other,119
1253,Oklahoma City,OK,Sea Kayak,Boating,359
1254,Essex,VT,Reaction Hiking Boots,Apparel,129
1255,Jackson,MS,Wood-grip 1911 Pistol,Firearms,879
1256,Fairbanks,AK,Self-inflating Lifejacket,Boating,169
1257,Juneau,AK,Baitcasting Rod Combo,Fishing,79
1258,Olathe,KS,Polarized Sunglasses,Apparel,39
1259,Augusta,GA,Baitcasting Rod Combo,Fishing,79
1260,Lansing,MI,River Raincoat,Apparel,130
1261,Chesapeake,VA,Classic Fly Rod and Reel,Fishing,103
1262,Iowa City,IA,Sonar/GPS Combo,Fishing,999
1263,Grand Rapids,MI,Wrinkle-free Shirt,Apparel,31
1264,Tulsa,OK,Bolt-action .22 Rifle,Firearms,299
1265,Independence,MO,Nylon Tackle Bag,Fishing,59
1266,Wichita,KS,Sea Kayak,Boating,449
1267,Gresham,OR,River Kayak,Boating,279
1268,Newark,DE,Expedition Cooler,Other,250
1269,Olathe,KS,Expedition Cooler,Other,200
1270,Indianapolis,IN,Expedition Cooler,Other,250
1271,Mobile,AL,Wood-grip 1911 Pistol,Firearms,1099
1272,Iowa City,IA,Rugged Sport Sandals,Apparel,129
1273,Columbia,MD,Sonar/GPS Combo,Fishing,999
1274,Georgia,GA,Sea Kayak,Boating,449
1275,Denver,CO,Waders,Fishing,52
1276,Cambridge,MA,Rugged Sport Sandals,Apparel,129
1277,Auburn,ME,Rugged Sport Sandals,Apparel,103
1278,Racine,WI,River Raincoat,Apparel,104
1279,Kenosha,WI,Logo Tee,Apparel,24
1280,Metairie,LA,River Raincoat,Apparel,130
1281,Metairie,LA,Sonar/GPS Combo,Fishing,799
1282,Fort Wayne,IN,Sea Kayak,Boating,449
1283,Saint Louis,MO,Classic Fly Rod and Reel,Fishing,129
1284,Rockford,IL,30mm Rifle Scope,Firearms,409
1285,Las Vegas,NV,Sea Kayak,Boating,449
1286,Rochester,MN,Reaction Hiking Boots,Apparel,129
1287,Reading,PA,Expedition Cooler,Other,250
1288,Tuscaloosa,AL,Sonar/GPS Combo,Fishing,999
1289,Erie,PA,Baitcasting Rod Combo,Fishing,99
1290,Overland Park,KS,Sonar/GPS Combo,Fishing,999
1291,Philadelphia,PA,Wood-grip 1911 Pistol,Firearms,1099
1292,Tuscaloosa,AL,30mm Rifle Scope,Firearms,409
1293,Savannah,GA,Wrinkle-free Shirt,Apparel,31
1294,Grand Island,NE,EZ-Conceal Holster,Firearms,49
1295,Atlanta,GA,Reaction Hiking Boots,Apparel,129
1296,Indianapolis,IN,Sea Kayak,Boating,449
1297,Oklahoma City,OK,Logo Tee,Apparel,24
1298,Columbia,MO,Classic Fly Rod and Reel,Fishing,129
1299,Springdale,AR,Self-inflating Lifejacket,Boating,135
1300,Omaha,NE,Bolt-action .22 Rifle,Firearms,299
1301,Iowa City,IA,Rugged Sport Sandals,Apparel,129
